"","category","gene"
"shared.nog.si168","shared.nog.si","LINC01268"
"shared.nog.si169","shared.nog.si","LOC100240735"
"shared.nog.si170","shared.nog.si","LOC284825"
"shared.nog.si171","shared.nog.si","LOC646471"
"shared.nog.si172","shared.nog.si","LOC728989"
"shared.nog.si173","shared.nog.si","LPCAT3"
"shared.nog.si174","shared.nog.si","LPIN3"
"shared.nog.si175","shared.nog.si","LRRC75A"
"shared.nog.si176","shared.nog.si","LRRC75B"
"shared.nog.si177","shared.nog.si","MALL"
"shared.nog.si178","shared.nog.si","MAPKBP1"
"shared.nog.si179","shared.nog.si","METTL7B"
"shared.nog.si180","shared.nog.si","MFSD2A"
"shared.nog.si181","shared.nog.si","MGAM"
"shared.nog.si182","shared.nog.si","MICALL2"
"shared.nog.si183","shared.nog.si","MICU1"
"shared.nog.si184","shared.nog.si","MIR1268A,SLC27A4"
"shared.nog.si185","shared.nog.si","MIR22,MIR22HG"
"shared.nog.si186","shared.nog.si","MIR31HG"
"shared.nog.si187","shared.nog.si","MIR3615,SLC9A3R1"
"shared.nog.si188","shared.nog.si","MIR5187,TOMM40L"
"shared.nog.si189","shared.nog.si","MIR5193,UBA7"
"shared.nog.si190","shared.nog.si","MIR6073,SOX6"
"shared.nog.si191","shared.nog.si","MIR621,SLC25A15"
"shared.nog.si192","shared.nog.si","MIR7703,PSME2"
"shared.nog.si193","shared.nog.si","MISP"
"shared.nog.si194","shared.nog.si","MME"
"shared.nog.si195","shared.nog.si","MMEL1"
"shared.nog.si196","shared.nog.si","MOCS1"
"shared.nog.si197","shared.nog.si","MOGAT3"
"shared.nog.si198","shared.nog.si","MON1A"
"shared.nog.si199","shared.nog.si","MS4A8"
"shared.nog.si200","shared.nog.si","MSRA"
"shared.nog.si201","shared.nog.si","MST1"
"shared.nog.si202","shared.nog.si","MTTP"
"shared.nog.si203","shared.nog.si","MUS81"
"shared.nog.si204","shared.nog.si","MYO15B"
"shared.nog.si205","shared.nog.si","MYO1A"
"shared.nog.si206","shared.nog.si","NAGS"
"shared.nog.si207","shared.nog.si","NELL2"
"shared.nog.si208","shared.nog.si","NGEF"
"shared.nog.si209","shared.nog.si","NOP9"
"shared.nog.si210","shared.nog.si","NPC1L1"
"shared.nog.si211","shared.nog.si","NR0B2"
"shared.nog.si212","shared.nog.si","NR1I3"
"shared.nog.si213","shared.nog.si","NSUN6"
"shared.nog.si214","shared.nog.si","NUB1"
"shared.nog.si215","shared.nog.si","OGDH"
"shared.nog.si216","shared.nog.si","OTC"
"shared.nog.si217","shared.nog.si","P4HB"
"shared.nog.si218","shared.nog.si","PARP12"
"shared.nog.si219","shared.nog.si","PARP3"
"shared.nog.si220","shared.nog.si","PATL2"
"shared.nog.si221","shared.nog.si","PCK2"
"shared.nog.si222","shared.nog.si","PCSK5"
"shared.nog.si223","shared.nog.si","PDLIM2"
"shared.nog.si224","shared.nog.si","PDZD7"
"shared.nog.si225","shared.nog.si","PDZK1"
"shared.nog.si226","shared.nog.si","PEBP1"
"shared.nog.si227","shared.nog.si","PEPD"
"shared.nog.si228","shared.nog.si","PEX14"
"shared.nog.si229","shared.nog.si","PGRMC2"
"shared.nog.si230","shared.nog.si","PHEX"
"shared.nog.si231","shared.nog.si","PKLR"
"shared.nog.si232","shared.nog.si","PLA2G6"
"shared.nog.si233","shared.nog.si","PLCB3"
"shared.nog.si234","shared.nog.si","PLEKHS1"
"shared.nog.si235","shared.nog.si","PLIN2"
"shared.nog.si236","shared.nog.si","PLIN3"
"shared.nog.si237","shared.nog.si","PLLP"
"shared.nog.si238","shared.nog.si","PNP"
"shared.nog.si239","shared.nog.si","PP7080"
"shared.nog.si240","shared.nog.si","PQLC2"
"shared.nog.si241","shared.nog.si","PRAP1"
"shared.nog.si242","shared.nog.si","PRDM7"
"shared.nog.si243","shared.nog.si","PRODH"
"shared.nog.si244","shared.nog.si","PSMB9"
"shared.nog.si245","shared.nog.si","PSMD9"
"shared.nog.si246","shared.nog.si","PSME1"
"shared.nog.si247","shared.nog.si","PTPRH"
"shared.nog.si248","shared.nog.si","PXDC1"
"shared.nog.si249","shared.nog.si","RAB11FIP3"
"shared.nog.si250","shared.nog.si","RAB17"
"shared.nog.si251","shared.nog.si","RAB5C"
"shared.nog.si252","shared.nog.si","RAB8A"
"shared.nog.si253","shared.nog.si","RARRES3"
"shared.nog.si254","shared.nog.si","RBP2"
"shared.nog.si255","shared.nog.si","REEP6"
"shared.nog.si256","shared.nog.si","REG1A"
"shared.nog.si257","shared.nog.si","RPS6KA1"
"shared.nog.si258","shared.nog.si","RTKN"
"shared.nog.si259","shared.nog.si","RTP4"
"shared.nog.si260","shared.nog.si","SAT1"
"shared.nog.si261","shared.nog.si","SAT2"
"shared.nog.si262","shared.nog.si","SCAMP5"
"shared.nog.si263","shared.nog.si","SCNN1D"
"shared.nog.si264","shared.nog.si","SCRN2"
"shared.nog.si265","shared.nog.si","SDHA"
"shared.nog.si266","shared.nog.si","SEC14L2"
"shared.nog.si267","shared.nog.si","SERP2"
"shared.nog.si268","shared.nog.si","SFRP5"
"shared.nog.si269","shared.nog.si","SFXN3"
"shared.nog.si270","shared.nog.si","SH3BP1"
"shared.nog.si271","shared.nog.si","SH3GL1"
"shared.nog.si272","shared.nog.si","SHBG"
"shared.nog.si273","shared.nog.si","SIDT2"
"shared.nog.si274","shared.nog.si","SLC12A7"
"shared.nog.si275","shared.nog.si","SLC15A1"
"shared.nog.si276","shared.nog.si","SLC1A7"
"shared.nog.si277","shared.nog.si","SLC22A4"
"shared.nog.si278","shared.nog.si","SLC23A1"
"shared.nog.si279","shared.nog.si","SLC25A20"
"shared.nog.si280","shared.nog.si","SLC25A34"
"shared.nog.si281","shared.nog.si","SLC25A44"
"shared.nog.si282","shared.nog.si","SLC25A45"
"shared.nog.si283","shared.nog.si","SLC26A11"
"shared.nog.si284","shared.nog.si","SLC2A2"
"shared.nog.si285","shared.nog.si","SLC35B1"
"shared.nog.si286","shared.nog.si","SLC37A4"
"shared.nog.si287","shared.nog.si","SLC39A5"
"shared.nog.si288","shared.nog.si","SLC3A2"
"shared.nog.si289","shared.nog.si","SLC52A1"
"shared.nog.si290","shared.nog.si","SLC5A1"
"shared.nog.si291","shared.nog.si","SLC5A9"
"shared.nog.si292","shared.nog.si","SLC6A19"
"shared.nog.si293","shared.nog.si","SLC6A20"
"shared.nog.si294","shared.nog.si","SLC7A7"
"shared.nog.si295","shared.nog.si","SMIM24"
"shared.nog.si296","shared.nog.si","SMIM5"
"shared.nog.si297","shared.nog.si","SMLR1"
"shared.nog.si298","shared.nog.si","SMPD3"
"shared.nog.si299","shared.nog.si","SOWAHA"
"shared.nog.si300","shared.nog.si","SPNS3"
"shared.nog.si301","shared.nog.si","ST7,ST7-OT3"
"shared.nog.si302","shared.nog.si","STRC"
"shared.nog.si303","shared.nog.si","SULT1A1"
"shared.nog.si304","shared.nog.si","SULT1A2"
"shared.nog.si305","shared.nog.si","SYK"
"shared.nog.si306","shared.nog.si","SYP"
"shared.nog.si307","shared.nog.si","TAP2"
"shared.nog.si308","shared.nog.si","TCF7"
"shared.nog.si309","shared.nog.si","TICAM1"
"shared.nog.si310","shared.nog.si","TKFC"
"shared.nog.si311","shared.nog.si","TM4SF20"
