"","category","gene"
"shared.bmpnog.colon102","shared.bmpnog.colon","HNRNPAB"
"shared.bmpnog.colon103","shared.bmpnog.colon","HOXA10-AS"
"shared.bmpnog.colon104","shared.bmpnog.colon","HOXA10,HOXA10-HOXA9,HOXA9"
"shared.bmpnog.colon105","shared.bmpnog.colon","HOXA11"
"shared.bmpnog.colon106","shared.bmpnog.colon","HOXB9"
"shared.bmpnog.colon107","shared.bmpnog.colon","HOXB-AS3"
"shared.bmpnog.colon108","shared.bmpnog.colon","IARS"
"shared.bmpnog.colon109","shared.bmpnog.colon","IFT74-AS1"
"shared.bmpnog.colon110","shared.bmpnog.colon","IL1R2"
"shared.bmpnog.colon111","shared.bmpnog.colon","ILDR1"
"shared.bmpnog.colon112","shared.bmpnog.colon","IPO5P1"
"shared.bmpnog.colon113","shared.bmpnog.colon","IQGAP1"
"shared.bmpnog.colon114","shared.bmpnog.colon","ITM2C"
"shared.bmpnog.colon115","shared.bmpnog.colon","JAG1"
"shared.bmpnog.colon116","shared.bmpnog.colon","JPH1"
"shared.bmpnog.colon117","shared.bmpnog.colon","KCNJ2"
"shared.bmpnog.colon118","shared.bmpnog.colon","KCNN4"
"shared.bmpnog.colon119","shared.bmpnog.colon","KCNRG,TRIM13"
"shared.bmpnog.colon120","shared.bmpnog.colon","KCTD1"
"shared.bmpnog.colon121","shared.bmpnog.colon","KCTD20"
"shared.bmpnog.colon122","shared.bmpnog.colon","KLK15"
"shared.bmpnog.colon123","shared.bmpnog.colon","KNOP1"
"shared.bmpnog.colon124","shared.bmpnog.colon","KPNA4"
"shared.bmpnog.colon125","shared.bmpnog.colon","LEFTY1"
"shared.bmpnog.colon126","shared.bmpnog.colon","LIMK2"
"shared.bmpnog.colon127","shared.bmpnog.colon","LINC00341"
"shared.bmpnog.colon128","shared.bmpnog.colon","LINC00858"
"shared.bmpnog.colon129","shared.bmpnog.colon","LIPH"
"shared.bmpnog.colon130","shared.bmpnog.colon","LOC100507346"
"shared.bmpnog.colon131","shared.bmpnog.colon","LOC101928233"
"shared.bmpnog.colon132","shared.bmpnog.colon","LOC101929395"
"shared.bmpnog.colon133","shared.bmpnog.colon","LOC101929524"
"shared.bmpnog.colon134","shared.bmpnog.colon","LRRK1"
"shared.bmpnog.colon135","shared.bmpnog.colon","MAML2"
"shared.bmpnog.colon136","shared.bmpnog.colon","MAPRE2"
"shared.bmpnog.colon137","shared.bmpnog.colon","MARCH3"
"shared.bmpnog.colon138","shared.bmpnog.colon","MARCKSL1"
"shared.bmpnog.colon139","shared.bmpnog.colon","MBNL3"
"shared.bmpnog.colon140","shared.bmpnog.colon","MCOLN2"
"shared.bmpnog.colon141","shared.bmpnog.colon","MECOM"
"shared.bmpnog.colon142","shared.bmpnog.colon","METTL5"
"shared.bmpnog.colon143","shared.bmpnog.colon","MFAP3L"
"shared.bmpnog.colon144","shared.bmpnog.colon","MFHAS1"
"shared.bmpnog.colon145","shared.bmpnog.colon","MINA"
"shared.bmpnog.colon146","shared.bmpnog.colon","MLLT3"
"shared.bmpnog.colon147","shared.bmpnog.colon","MPHOSPH6"
"shared.bmpnog.colon148","shared.bmpnog.colon","MPLKIP"
"shared.bmpnog.colon149","shared.bmpnog.colon","MPZL2"
"shared.bmpnog.colon150","shared.bmpnog.colon","MREG"
"shared.bmpnog.colon151","shared.bmpnog.colon","MRPL1"
"shared.bmpnog.colon152","shared.bmpnog.colon","MRPL3"
"shared.bmpnog.colon153","shared.bmpnog.colon","MTL5"
"shared.bmpnog.colon154","shared.bmpnog.colon","MYO3A"
"shared.bmpnog.colon155","shared.bmpnog.colon","MYO5C"
"shared.bmpnog.colon156","shared.bmpnog.colon","NAA15"
"shared.bmpnog.colon157","shared.bmpnog.colon","NAP1L1"
"shared.bmpnog.colon158","shared.bmpnog.colon","NCBP1"
"shared.bmpnog.colon159","shared.bmpnog.colon","NDC1"
"shared.bmpnog.colon160","shared.bmpnog.colon","NEDD4L"
"shared.bmpnog.colon161","shared.bmpnog.colon","NEURL1B"
"shared.bmpnog.colon162","shared.bmpnog.colon","NLE1"
"shared.bmpnog.colon163","shared.bmpnog.colon","NOLC1"
"shared.bmpnog.colon164","shared.bmpnog.colon","NOTCH1"
"shared.bmpnog.colon165","shared.bmpnog.colon","NOTCH2"
"shared.bmpnog.colon166","shared.bmpnog.colon","NRARP"
"shared.bmpnog.colon167","shared.bmpnog.colon","NRXN1"
"shared.bmpnog.colon168","shared.bmpnog.colon","NSF,NSFP1"
"shared.bmpnog.colon169","shared.bmpnog.colon","NT5DC3"
"shared.bmpnog.colon170","shared.bmpnog.colon","NUDT4"
"shared.bmpnog.colon171","shared.bmpnog.colon","NXPE1"
"shared.bmpnog.colon172","shared.bmpnog.colon","NXPE2"
"shared.bmpnog.colon173","shared.bmpnog.colon","NXPE4"
"shared.bmpnog.colon174","shared.bmpnog.colon","ODC1"
"shared.bmpnog.colon175","shared.bmpnog.colon","ORC5"
"shared.bmpnog.colon176","shared.bmpnog.colon","P4HA1"
"shared.bmpnog.colon177","shared.bmpnog.colon","PAPPA2"
"shared.bmpnog.colon178","shared.bmpnog.colon","PARM1"
"shared.bmpnog.colon179","shared.bmpnog.colon","PAWR"
"shared.bmpnog.colon180","shared.bmpnog.colon","PCDHB11"
"shared.bmpnog.colon181","shared.bmpnog.colon","PDE3B"
"shared.bmpnog.colon182","shared.bmpnog.colon","PDZK1IP1"
"shared.bmpnog.colon183","shared.bmpnog.colon","PGBD5"
"shared.bmpnog.colon184","shared.bmpnog.colon","PHF20"
"shared.bmpnog.colon185","shared.bmpnog.colon","PHF6"
"shared.bmpnog.colon186","shared.bmpnog.colon","PKIB"
"shared.bmpnog.colon187","shared.bmpnog.colon","PLCD3"
"shared.bmpnog.colon188","shared.bmpnog.colon","PLSCR4"
"shared.bmpnog.colon189","shared.bmpnog.colon","POF1B"
"shared.bmpnog.colon190","shared.bmpnog.colon","POLR3B"
"shared.bmpnog.colon191","shared.bmpnog.colon","POSTN"
"shared.bmpnog.colon192","shared.bmpnog.colon","PP14571"
"shared.bmpnog.colon193","shared.bmpnog.colon","PPIC"
"shared.bmpnog.colon194","shared.bmpnog.colon","PPP1R8"
"shared.bmpnog.colon195","shared.bmpnog.colon","PPP2R3A"
"shared.bmpnog.colon196","shared.bmpnog.colon","PPP3CA"
"shared.bmpnog.colon197","shared.bmpnog.colon","PREP"
"shared.bmpnog.colon198","shared.bmpnog.colon","PRKACB"
"shared.bmpnog.colon199","shared.bmpnog.colon","PRKAR2A"
"shared.bmpnog.colon200","shared.bmpnog.colon","PRKRIR"
"shared.bmpnog.colon201","shared.bmpnog.colon","PRMT5"
"shared.bmpnog.colon202","shared.bmpnog.colon","PSMD6"
"shared.bmpnog.colon203","shared.bmpnog.colon","PSME4"
"shared.bmpnog.colon204","shared.bmpnog.colon","PTAR1"
"shared.bmpnog.colon205","shared.bmpnog.colon","PTTG1IP"
"shared.bmpnog.colon206","shared.bmpnog.colon","PUM1"
"shared.bmpnog.colon207","shared.bmpnog.colon","PYGL"
"shared.bmpnog.colon208","shared.bmpnog.colon","QPCT"
"shared.bmpnog.colon209","shared.bmpnog.colon","R3HDM1"
"shared.bmpnog.colon210","shared.bmpnog.colon","RAB3B"
"shared.bmpnog.colon211","shared.bmpnog.colon","RABEP1"
"shared.bmpnog.colon212","shared.bmpnog.colon","RAP1GDS1"
"shared.bmpnog.colon213","shared.bmpnog.colon","RAPGEF2"
"shared.bmpnog.colon214","shared.bmpnog.colon","RBMS3"
"shared.bmpnog.colon215","shared.bmpnog.colon","RCC2"
"shared.bmpnog.colon216","shared.bmpnog.colon","REXO2"
"shared.bmpnog.colon217","shared.bmpnog.colon","RIF1"
"shared.bmpnog.colon218","shared.bmpnog.colon","RIMS3"
"shared.bmpnog.colon219","shared.bmpnog.colon","RNASEH2B"
"shared.bmpnog.colon220","shared.bmpnog.colon","RPA2"
"shared.bmpnog.colon221","shared.bmpnog.colon","RSF1"
"shared.bmpnog.colon222","shared.bmpnog.colon","RSL24D1"
"shared.bmpnog.colon223","shared.bmpnog.colon","RXFP4"
"shared.bmpnog.colon224","shared.bmpnog.colon","SATB2"
"shared.bmpnog.colon225","shared.bmpnog.colon","SATB2-AS1"
"shared.bmpnog.colon226","shared.bmpnog.colon","SCLT1"
"shared.bmpnog.colon227","shared.bmpnog.colon","SERBP1"
"shared.bmpnog.colon228","shared.bmpnog.colon","SETBP1"
"shared.bmpnog.colon229","shared.bmpnog.colon","SH3PXD2A-AS1"
"shared.bmpnog.colon230","shared.bmpnog.colon","SIPA1L2"
"shared.bmpnog.colon231","shared.bmpnog.colon","SLC16A9"
"shared.bmpnog.colon232","shared.bmpnog.colon","SLC1A3"
"shared.bmpnog.colon233","shared.bmpnog.colon","SLC39A8"
"shared.bmpnog.colon234","shared.bmpnog.colon","SLC7A2"
"shared.bmpnog.colon235","shared.bmpnog.colon","SLC9A2"
"shared.bmpnog.colon236","shared.bmpnog.colon","SLCO4A1-AS1"
"shared.bmpnog.colon237","shared.bmpnog.colon","SMAD5"
"shared.bmpnog.colon238","shared.bmpnog.colon","SMARCA5"
"shared.bmpnog.colon239","shared.bmpnog.colon","SMC6"
"shared.bmpnog.colon240","shared.bmpnog.colon","SNRPE"
"shared.bmpnog.colon241","shared.bmpnog.colon","SNX13"
"shared.bmpnog.colon242","shared.bmpnog.colon","SOCS5"
"shared.bmpnog.colon243","shared.bmpnog.colon","SORBS2"
"shared.bmpnog.colon244","shared.bmpnog.colon","SPAG1"
"shared.bmpnog.colon245","shared.bmpnog.colon","SRSF12"
"shared.bmpnog.colon246","shared.bmpnog.colon","SRSF9"
"shared.bmpnog.colon247","shared.bmpnog.colon","ST6GAL2"
"shared.bmpnog.colon248","shared.bmpnog.colon","STAB2"
"shared.bmpnog.colon249","shared.bmpnog.colon","STMND1"
"shared.bmpnog.colon250","shared.bmpnog.colon","STS"
"shared.bmpnog.colon251","shared.bmpnog.colon","STX19"
"shared.bmpnog.colon252","shared.bmpnog.colon","SUSD1"
"shared.bmpnog.colon253","shared.bmpnog.colon","SUV39H2"
"shared.bmpnog.colon254","shared.bmpnog.colon","TBL2"
"shared.bmpnog.colon255","shared.bmpnog.colon","TCTA"
"shared.bmpnog.colon256","shared.bmpnog.colon","TDGF1"
"shared.bmpnog.colon257","shared.bmpnog.colon","TFRC"
"shared.bmpnog.colon258","shared.bmpnog.colon","TMA16"
"shared.bmpnog.colon259","shared.bmpnog.colon","TMCC1-AS1"
"shared.bmpnog.colon260","shared.bmpnog.colon","TMED10"
"shared.bmpnog.colon261","shared.bmpnog.colon","TMED2"
"shared.bmpnog.colon262","shared.bmpnog.colon","TMEM123"
"shared.bmpnog.colon263","shared.bmpnog.colon","TMEM159"
"shared.bmpnog.colon264","shared.bmpnog.colon","TMEM200B"
"shared.bmpnog.colon265","shared.bmpnog.colon","TMEM38A"
"shared.bmpnog.colon266","shared.bmpnog.colon","TRABD2A"
"shared.bmpnog.colon267","shared.bmpnog.colon","TSN"
"shared.bmpnog.colon268","shared.bmpnog.colon","TSPAN5"
"shared.bmpnog.colon269","shared.bmpnog.colon","TTC3"
"shared.bmpnog.colon270","shared.bmpnog.colon","TTC8"
"shared.bmpnog.colon271","shared.bmpnog.colon","TTPA"
"shared.bmpnog.colon272","shared.bmpnog.colon","UBE2A"
"shared.bmpnog.colon273","shared.bmpnog.colon","UBE2N"
"shared.bmpnog.colon274","shared.bmpnog.colon","UGP2"
"shared.bmpnog.colon275","shared.bmpnog.colon","UNC13B"
"shared.bmpnog.colon276","shared.bmpnog.colon","URB1"
"shared.bmpnog.colon277","shared.bmpnog.colon","VWA3B"
"shared.bmpnog.colon278","shared.bmpnog.colon","WDHD1"
"shared.bmpnog.colon279","shared.bmpnog.colon","WDR35"
"shared.bmpnog.colon280","shared.bmpnog.colon","WDR78"
"shared.bmpnog.colon281","shared.bmpnog.colon","WIPI1"
"shared.bmpnog.colon282","shared.bmpnog.colon","WNK4"
"shared.bmpnog.colon283","shared.bmpnog.colon","WWP1"
"shared.bmpnog.colon284","shared.bmpnog.colon","XPO4"
"shared.bmpnog.colon285","shared.bmpnog.colon","YWHAE"
"shared.bmpnog.colon286","shared.bmpnog.colon","ZBTB7C"
"shared.bmpnog.colon287","shared.bmpnog.colon","ZBTB8B"
"shared.bmpnog.colon288","shared.bmpnog.colon","ZFHX3"
"shared.bmpnog.colon289","shared.bmpnog.colon","ZNF658"
"shared.bmpnog.colon290","shared.bmpnog.colon","ZNF774"
"shared.bmpnog.colon291","shared.bmpnog.colon","ZNF780B"
"shared.bmpegf.colon1","shared.bmpegf.colon","AAK1"
"shared.bmpegf.colon2","shared.bmpegf.colon","ABHD10"
"shared.bmpegf.colon3","shared.bmpegf.colon","ABHD17C"
"shared.bmpegf.colon4","shared.bmpegf.colon","ABL2"
"shared.bmpegf.colon5","shared.bmpegf.colon","ACTR2"
"shared.bmpegf.colon6","shared.bmpegf.colon","ACVR2B"
"shared.bmpegf.colon7","shared.bmpegf.colon","ACYP1"
"shared.bmpegf.colon8","shared.bmpegf.colon","ADAM10"
"shared.bmpegf.colon9","shared.bmpegf.colon","ADAM17"
"shared.bmpegf.colon10","shared.bmpegf.colon","ADAM22"
"shared.bmpegf.colon11","shared.bmpegf.colon","ADGRF4"
"shared.bmpegf.colon12","shared.bmpegf.colon","AEBP2"
"shared.bmpegf.colon13","shared.bmpegf.colon","AGPS"
"shared.bmpegf.colon14","shared.bmpegf.colon","AHI1"
"shared.bmpegf.colon15","shared.bmpegf.colon","AIDA"
"shared.bmpegf.colon16","shared.bmpegf.colon","AIFM3"
"shared.bmpegf.colon17","shared.bmpegf.colon","AKAP11"
"shared.bmpegf.colon18","shared.bmpegf.colon","AKAP13,MIR7706"
"shared.bmpegf.colon19","shared.bmpegf.colon","AKAP5"
"shared.bmpegf.colon20","shared.bmpegf.colon","ALG8"
"shared.bmpegf.colon21","shared.bmpegf.colon","ANKDD1B"
"shared.bmpegf.colon22","shared.bmpegf.colon","ANKFY1"
"shared.bmpegf.colon23","shared.bmpegf.colon","ANKS1B"
"shared.bmpegf.colon24","shared.bmpegf.colon","ANP32B"
"shared.bmpegf.colon25","shared.bmpegf.colon","ANTXR2"
"shared.bmpegf.colon26","shared.bmpegf.colon","AP2B1"
"shared.bmpegf.colon27","shared.bmpegf.colon","AP3M1"
"shared.bmpegf.colon28","shared.bmpegf.colon","APH1B"
"shared.bmpegf.colon29","shared.bmpegf.colon","APOBR"
"shared.bmpegf.colon30","shared.bmpegf.colon","ARFGEF3"
"shared.bmpegf.colon31","shared.bmpegf.colon","ARFIP1"
"shared.bmpegf.colon32","shared.bmpegf.colon","ARL14EP"
"shared.bmpegf.colon33","shared.bmpegf.colon","ARMC8"
"shared.bmpegf.colon34","shared.bmpegf.colon","ARPC5"
"shared.bmpegf.colon35","shared.bmpegf.colon","ARRDC3"
"shared.bmpegf.colon36","shared.bmpegf.colon","ASB7"
"shared.bmpegf.colon37","shared.bmpegf.colon","ASPH"
"shared.bmpegf.colon38","shared.bmpegf.colon","ATG4C"
"shared.bmpegf.colon39","shared.bmpegf.colon","ATL3"
"shared.bmpegf.colon40","shared.bmpegf.colon","ATM"
"shared.bmpegf.colon41","shared.bmpegf.colon","ATP13A3"
"shared.bmpegf.colon42","shared.bmpegf.colon","ATP2A3"
"shared.bmpegf.colon43","shared.bmpegf.colon","ATR"
"shared.bmpegf.colon44","shared.bmpegf.colon","ATRX"
"shared.bmpegf.colon45","shared.bmpegf.colon","ATXN1"
"shared.bmpegf.colon46","shared.bmpegf.colon","ATXN3"
"shared.bmpegf.colon47","shared.bmpegf.colon","B3GALNT2"
"shared.bmpegf.colon48","shared.bmpegf.colon","B3GNT6"
"shared.bmpegf.colon49","shared.bmpegf.colon","BAG5"
"shared.bmpegf.colon50","shared.bmpegf.colon","BAZ1B"
"shared.bmpegf.colon51","shared.bmpegf.colon","BBIP1"
"shared.bmpegf.colon52","shared.bmpegf.colon","BCAS1"
"shared.bmpegf.colon53","shared.bmpegf.colon","BCAT1"
"shared.bmpegf.colon54","shared.bmpegf.colon","BCLAF1"
"shared.bmpegf.colon55","shared.bmpegf.colon","BEND3"
"shared.bmpegf.colon56","shared.bmpegf.colon","BEST2"
"shared.bmpegf.colon57","shared.bmpegf.colon","BIN1"
"shared.bmpegf.colon58","shared.bmpegf.colon","BMPR2"
"shared.bmpegf.colon59","shared.bmpegf.colon","BNC2"
"shared.bmpegf.colon60","shared.bmpegf.colon","BTBD10"
"shared.bmpegf.colon61","shared.bmpegf.colon","BTBD3"
"shared.bmpegf.colon62","shared.bmpegf.colon","BTBD7"
"shared.bmpegf.colon63","shared.bmpegf.colon","BTF3L4"
"shared.bmpegf.colon64","shared.bmpegf.colon","BTRC"
"shared.bmpegf.colon65","shared.bmpegf.colon","BZW1"
"shared.bmpegf.colon66","shared.bmpegf.colon","C10orf99"
"shared.bmpegf.colon67","shared.bmpegf.colon","C11orf58"
"shared.bmpegf.colon68","shared.bmpegf.colon","C18orf54"
"shared.bmpegf.colon69","shared.bmpegf.colon","C3orf52"
"shared.bmpegf.colon70","shared.bmpegf.colon","C7orf60"
"shared.bmpegf.colon71","shared.bmpegf.colon","CA12"
"shared.bmpegf.colon72","shared.bmpegf.colon","CA4"
"shared.bmpegf.colon73","shared.bmpegf.colon","CAMK1D,LOC283070"
"shared.bmpegf.colon74","shared.bmpegf.colon","CAMSAP2"
"shared.bmpegf.colon75","shared.bmpegf.colon","CAPN8"
"shared.bmpegf.colon76","shared.bmpegf.colon","CAPZA1"
"shared.bmpegf.colon77","shared.bmpegf.colon","CASC4"
"shared.bmpegf.colon78","shared.bmpegf.colon","CASD1"
"shared.bmpegf.colon79","shared.bmpegf.colon","CBFB"
"shared.bmpegf.colon80","shared.bmpegf.colon","CBX5,MIR3198-2"
"shared.bmpegf.colon81","shared.bmpegf.colon","CCDC132"
"shared.bmpegf.colon82","shared.bmpegf.colon","CCDC88A"
"shared.bmpegf.colon83","shared.bmpegf.colon","CCND1"
"shared.bmpegf.colon84","shared.bmpegf.colon","CCNJL"
"shared.bmpegf.colon85","shared.bmpegf.colon","CCNT1"
"shared.bmpegf.colon86","shared.bmpegf.colon","CD24"
"shared.bmpegf.colon87","shared.bmpegf.colon","CD59"
"shared.bmpegf.colon88","shared.bmpegf.colon","CD9"
"shared.bmpegf.colon89","shared.bmpegf.colon","CDC42"
"shared.bmpegf.colon90","shared.bmpegf.colon","CDHR1"
"shared.bmpegf.colon91","shared.bmpegf.colon","CDK19"
"shared.bmpegf.colon92","shared.bmpegf.colon","CEACAM5"
"shared.bmpegf.colon93","shared.bmpegf.colon","CEACAM6"
"shared.bmpegf.colon94","shared.bmpegf.colon","CEBPZ"
"shared.bmpegf.colon95","shared.bmpegf.colon","CELF2"
"shared.bmpegf.colon96","shared.bmpegf.colon","CENPO"
"shared.bmpegf.colon97","shared.bmpegf.colon","CEP250"
"shared.bmpegf.colon98","shared.bmpegf.colon","CHD9"
"shared.bmpegf.colon99","shared.bmpegf.colon","CHIC1"
"shared.bmpegf.colon100","shared.bmpegf.colon","CLIC4"
"shared.bmpegf.colon101","shared.bmpegf.colon","CLMN"
"shared.bmpegf.colon102","shared.bmpegf.colon","CLNS1A"
"shared.bmpegf.colon103","shared.bmpegf.colon","CLTC"
"shared.bmpegf.colon104","shared.bmpegf.colon","CMTM6"
"shared.bmpegf.colon105","shared.bmpegf.colon","CNEP1R1"
"shared.bmpegf.colon106","shared.bmpegf.colon","CNTN3"
"shared.bmpegf.colon107","shared.bmpegf.colon","CPM"
"shared.bmpegf.colon108","shared.bmpegf.colon","CRK"
"shared.bmpegf.colon109","shared.bmpegf.colon","CRYM"
"shared.bmpegf.colon110","shared.bmpegf.colon","CSNK1A1"
"shared.bmpegf.colon111","shared.bmpegf.colon","CSRNP3"
"shared.bmpegf.colon112","shared.bmpegf.colon","CTDSPL"
"shared.bmpegf.colon113","shared.bmpegf.colon","CTTNBP2NL"
"shared.bmpegf.colon114","shared.bmpegf.colon","CYLD"
"shared.bmpegf.colon115","shared.bmpegf.colon","CYP20A1"
"shared.bmpegf.colon116","shared.bmpegf.colon","DAAM1"
"shared.bmpegf.colon117","shared.bmpegf.colon","DCBLD2"
"shared.bmpegf.colon118","shared.bmpegf.colon","DCP2"
"shared.bmpegf.colon119","shared.bmpegf.colon","DDX50"
"shared.bmpegf.colon120","shared.bmpegf.colon","DDX6"
"shared.bmpegf.colon121","shared.bmpegf.colon","DGKH"
"shared.bmpegf.colon122","shared.bmpegf.colon","DHRS13"
"shared.bmpegf.colon123","shared.bmpegf.colon","DHRS9"
"shared.bmpegf.colon124","shared.bmpegf.colon","DHX57"
"shared.bmpegf.colon125","shared.bmpegf.colon","DICER1"
"shared.bmpegf.colon126","shared.bmpegf.colon","DIO3OS"
"shared.bmpegf.colon127","shared.bmpegf.colon","DISC1,TSNAX,TSNAX-DISC1"
"shared.bmpegf.colon128","shared.bmpegf.colon","DNAJC3"
"shared.bmpegf.colon129","shared.bmpegf.colon","DNAL1"
"shared.bmpegf.colon130","shared.bmpegf.colon","DPY19L1"
"shared.bmpegf.colon131","shared.bmpegf.colon","DSEL"
"shared.bmpegf.colon132","shared.bmpegf.colon","DSTYK"
"shared.bmpegf.colon133","shared.bmpegf.colon","DTD2"
"shared.bmpegf.colon134","shared.bmpegf.colon","EBPL"
"shared.bmpegf.colon135","shared.bmpegf.colon","EED,MIR6755"
"shared.bmpegf.colon136","shared.bmpegf.colon","EFNA5"
"shared.bmpegf.colon137","shared.bmpegf.colon","EHF"
"shared.bmpegf.colon138","shared.bmpegf.colon","EI24"
"shared.bmpegf.colon139","shared.bmpegf.colon","EID1"
"shared.bmpegf.colon140","shared.bmpegf.colon","EIF4E"
"shared.bmpegf.colon141","shared.bmpegf.colon","EIF5B"
"shared.bmpegf.colon142","shared.bmpegf.colon","EMC1"
"shared.bmpegf.colon143","shared.bmpegf.colon","ENAH"
"shared.bmpegf.colon144","shared.bmpegf.colon","ENDOD1"
"shared.bmpegf.colon145","shared.bmpegf.colon","ENTPD1"
"shared.bmpegf.colon146","shared.bmpegf.colon","EPAS1"
"shared.bmpegf.colon147","shared.bmpegf.colon","ERCC6L2"
"shared.bmpegf.colon148","shared.bmpegf.colon","ERMP1"
"shared.bmpegf.colon149","shared.bmpegf.colon","ERN2"
"shared.bmpegf.colon150","shared.bmpegf.colon","EXOC2"
"shared.bmpegf.colon151","shared.bmpegf.colon","EXOC4"
"shared.bmpegf.colon152","shared.bmpegf.colon","EXOC5"
"shared.bmpegf.colon153","shared.bmpegf.colon","EXOC6"
"shared.bmpegf.colon154","shared.bmpegf.colon","FAM102B"
"shared.bmpegf.colon155","shared.bmpegf.colon","FAM103A1"
"shared.bmpegf.colon156","shared.bmpegf.colon","FAM105A"
"shared.bmpegf.colon157","shared.bmpegf.colon","FAM120A"
"shared.bmpegf.colon158","shared.bmpegf.colon","FAM13B"
"shared.bmpegf.colon159","shared.bmpegf.colon","FAM169A"
"shared.bmpegf.colon160","shared.bmpegf.colon","FAM178A"
"shared.bmpegf.colon161","shared.bmpegf.colon","FAM208A"
"shared.bmpegf.colon162","shared.bmpegf.colon","FAM46A"
"shared.bmpegf.colon163","shared.bmpegf.colon","FAM83H-AS1"
"shared.bmpegf.colon164","shared.bmpegf.colon","FAM8A1"
"shared.bmpegf.colon165","shared.bmpegf.colon","FAM98B"
"shared.bmpegf.colon166","shared.bmpegf.colon","FANCI"
"shared.bmpegf.colon167","shared.bmpegf.colon","FAR2P2"
"shared.bmpegf.colon168","shared.bmpegf.colon","FBXO28"
"shared.bmpegf.colon169","shared.bmpegf.colon","FBXO45"
"shared.bmpegf.colon170","shared.bmpegf.colon","FCF1"
"shared.bmpegf.colon171","shared.bmpegf.colon","FEM1B"
"shared.bmpegf.colon172","shared.bmpegf.colon","FEM1C"
"shared.bmpegf.colon173","shared.bmpegf.colon","FFAR4"
"shared.bmpegf.colon174","shared.bmpegf.colon","FKBP5,LOC285847"
"shared.bmpegf.colon175","shared.bmpegf.colon","FKTN"
"shared.bmpegf.colon176","shared.bmpegf.colon","FLOT2"
"shared.bmpegf.colon177","shared.bmpegf.colon","FNDC3B"
"shared.bmpegf.colon178","shared.bmpegf.colon","FOCAD"
"shared.bmpegf.colon179","shared.bmpegf.colon","FOXD2"
"shared.bmpegf.colon180","shared.bmpegf.colon","FOXO3"
"shared.bmpegf.colon181","shared.bmpegf.colon","FOXO3B,ZNF286B"
"shared.bmpegf.colon182","shared.bmpegf.colon","FRMPD3"
"shared.bmpegf.colon183","shared.bmpegf.colon","FRYL"
"shared.bmpegf.colon184","shared.bmpegf.colon","FSIP2"
"shared.bmpegf.colon185","shared.bmpegf.colon","FZD4"
"shared.bmpegf.colon186","shared.bmpegf.colon","G3BP1"
"shared.bmpegf.colon187","shared.bmpegf.colon","GGH"
"shared.bmpegf.colon188","shared.bmpegf.colon","GIN1"
"shared.bmpegf.colon189","shared.bmpegf.colon","GJC1"
"shared.bmpegf.colon190","shared.bmpegf.colon","GLB1L2"
"shared.bmpegf.colon191","shared.bmpegf.colon","GLG1"
"shared.bmpegf.colon192","shared.bmpegf.colon","GLIS3"
"shared.bmpegf.colon193","shared.bmpegf.colon","GLTSCR1L"
"shared.bmpegf.colon194","shared.bmpegf.colon","GLUL"
"shared.bmpegf.colon195","shared.bmpegf.colon","GMNN"
"shared.bmpegf.colon196","shared.bmpegf.colon","GNAI1"
"shared.bmpegf.colon197","shared.bmpegf.colon","GNAQ"
"shared.bmpegf.colon198","shared.bmpegf.colon","GNE"
"shared.bmpegf.colon199","shared.bmpegf.colon","GOLGA3"
"shared.bmpegf.colon200","shared.bmpegf.colon","GOPC"
"shared.bmpegf.colon201","shared.bmpegf.colon","GP9"
"shared.bmpegf.colon202","shared.bmpegf.colon","GPC6"
"shared.bmpegf.colon203","shared.bmpegf.colon","GPX8"
"shared.bmpegf.colon204","shared.bmpegf.colon","GRM7"
"shared.bmpegf.colon205","shared.bmpegf.colon","GRSF1"
"shared.bmpegf.colon206","shared.bmpegf.colon","GTF2F2"
"shared.bmpegf.colon207","shared.bmpegf.colon","GTF3C1"
"shared.bmpegf.colon208","shared.bmpegf.colon","HABP4"
"shared.bmpegf.colon209","shared.bmpegf.colon","HEATR3"
"shared.bmpegf.colon210","shared.bmpegf.colon","HIATL1"
"shared.bmpegf.colon211","shared.bmpegf.colon","HMG20A"
"shared.bmpegf.colon212","shared.bmpegf.colon","HMGA2"
"shared.bmpegf.colon213","shared.bmpegf.colon","HN1L"
"shared.bmpegf.colon214","shared.bmpegf.colon","HOXA10-AS"
"shared.bmpegf.colon215","shared.bmpegf.colon","HOXA10,HOXA10-HOXA9,HOXA9"
"shared.bmpegf.colon216","shared.bmpegf.colon","HOXB5"
"shared.bmpegf.colon217","shared.bmpegf.colon","HOXB6"
"shared.bmpegf.colon218","shared.bmpegf.colon","HOXB7"
"shared.bmpegf.colon219","shared.bmpegf.colon","HOXB8"
"shared.bmpegf.colon220","shared.bmpegf.colon","HOXB9"
"shared.bmpegf.colon221","shared.bmpegf.colon","HOXB-AS3"
"shared.bmpegf.colon222","shared.bmpegf.colon","IFFO2"
"shared.bmpegf.colon223","shared.bmpegf.colon","IFNAR1"
"shared.bmpegf.colon224","shared.bmpegf.colon","IFT74-AS1"
"shared.bmpegf.colon225","shared.bmpegf.colon","IGF1R"
"shared.bmpegf.colon226","shared.bmpegf.colon","IGIP"
"shared.bmpegf.colon227","shared.bmpegf.colon","IL17RD"
"shared.bmpegf.colon228","shared.bmpegf.colon","IL1R2"
"shared.bmpegf.colon229","shared.bmpegf.colon","IL20RB"
"shared.bmpegf.colon230","shared.bmpegf.colon","IL6ST"
