"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"ZNF138","ZNF138",32.6567,48.6975,19.3816,37.976,34.3953,26.1982,68.8787,68.0965,56.1903,63.774,67.6652,91.4705,56.9097,114.611,56.8957,26.2701,48.9992
"ZNF14","ZNF14",99.3307,61.8083,52.3304,84.6322,72.7216,78.5946,80.553,79.7446,74.5602,71.4829,38.2455,97.651,75.0418,77.772,90.4096,87.0198,38.4994
"ZNF140","ZNF140",178.251,151.711,40.7014,213.751,212.268,197.36,150.599,200.706,151.282,120.54,160.827,181.952,131.233,177.545,309.419,267.627,265.996
"ZNF141","ZNF141",10.8856,0,0,8.68023,8.84452,5.23964,61.8741,43.0083,48.6262,71.4829,49.0327,72.9292,54.7553,61.9106,9.35272,11.4932,3.49994
"ZNF142","ZNF142",141.512,112.379,219.012,158.414,155.27,125.751,135.422,189.954,200.988,179.408,198.092,181.705,190.297,192.383,158.217,172.398,213.497
"ZNF143","ZNF143",117.02,54.3164,62.0212,71.6119,103.186,97.8066,151.767,152.321,158.846,139.462,152.982,197.28,166.241,128.938,71.7041,100.155,118.998
"ZNF146","ZNF146",329.288,290.312,160.868,348.294,448.122,333.59,715.638,724.87,702.378,680.489,708.033,832.629,814.688,874.424,430.225,366.14,395.494
"ZNF148","ZNF148",140.152,140.473,75.5884,121.523,183.769,188.627,609.401,630.789,620.254,487.766,571.722,820.515,681.121,900.518,72.4835,100.155,83.9986
"ZNF154","ZNF154",51.7064,67.4272,25.1961,73.7819,30.4644,73.355,56.0369,66.3045,66.9961,83.3967,69.6265,43.7575,72.1693,41.4443,33.5139,44.3309,38.4994
"ZNF155","ZNF155",104.774,61.8083,73.6502,95.4825,81.5661,90.8204,31.5208,53.7604,29.1757,44.1512,55.8973,49.938,40.2138,25.0712,82.6156,90.3036,69.9989
"ZNF157","ZNF157",5.44278,0,0,1.08503,0.982724,1.74655,0,1.79201,0,0,0,1.23609,1.97478,0,0.779393,1.64188,0
"ZNF16","ZNF16",130.627,112.379,120.166,87.8873,110.065,82.0877,57.2043,124.545,117.783,84.0976,87.2783,69.2209,61.2183,80.842,186.275,134.634,181.997
"ZNF160","ZNF160",322.485,359.612,259.714,212.666,278.111,225.305,215.976,299.266,279.871,271.215,250.067,303.336,281.676,278.342,184.716,269.269,146.998
"ZNF165","ZNF165",38.0995,103.014,100.785,19.5305,63.8771,19.212,56.0369,44.8004,24.8534,23.1268,55.8973,34.6105,43.9838,36.3277,36.6315,49.2565,31.4995
"ZNF169","ZNF169",2.72139,13.1109,9.69082,13.0203,15.7236,10.4793,22.1813,20.6082,41.0621,41.348,42.1682,41.2853,25.6722,27.6295,14.0291,8.20942,6.99989
"ZNF17","ZNF17",35.3781,50.5704,36.8251,42.3161,36.3608,55.8895,52.5346,60.9285,63.7544,48.3561,75.5104,62.0516,55.2939,40.421,47.543,31.1958,17.4997
"ZNF174","ZNF174",157.841,181.679,118.228,148.649,121.858,153.696,102.734,64.5125,64.8349,80.5935,59.8199,90.9761,64.6293,85.4469,222.127,183.891,241.496
"ZNF175","ZNF175",68.0347,65.5543,36.8251,49.9113,51.1017,50.6499,112.074,129.025,113.461,117.036,108.853,121.384,100.175,119.728,79.4981,50.8984,45.4993
"ZNF177,ZNF559,ZNF559-ZNF177","ZNF177,ZNF559,ZNF559-ZNF177",227.236,224.757,170.558,271.257,215.217,200.853,108.571,106.625,155.604,148.572,119.64,148.331,163.189,138.148,172.246,96.8711,153.997
"ZNF18","ZNF18",103.413,84.2841,69.7739,132.373,120.875,153.696,85.2228,90.4967,117.783,89.0032,72.5685,91.7177,74.3236,63.9573,134.056,123.141,101.498
"ZNF180","ZNF180",96.6093,39.3326,71.7121,72.6969,78.6179,62.8757,156.436,129.921,178.296,112.13,120.621,129.048,98.021,99.2617,67.8072,62.3916,41.9993
"ZNF181","ZNF181",103.413,31.8406,13.5671,46.6562,70.7561,48.9033,219.478,173.825,210.714,150.675,200.054,159.95,106.1,164.754,53.7781,42.689,24.4996
"ZNF182","ZNF182",81.6417,46.8245,34.8869,46.6562,85.497,59.3826,88.7251,66.3045,85.366,60.2699,90.2202,88.2567,75.2213,103.355,80.2775,65.6753,52.4991
"ZNF184","ZNF184",51.7064,73.0462,62.0212,53.1664,74.687,40.1706,114.409,107.521,125.348,84.7984,92.1816,133.25,92.6353,154.009,76.3805,90.3036,59.499
"ZNF185","ZNF185",225.875,43.0785,162.806,70.5268,73.7043,66.3688,59.5392,76.1606,41.0621,138.06,64.7232,240.79,161.214,137.636,109.894,78.8104,129.498
"ZNF189","ZNF189",326.567,237.868,156.991,201.815,315.454,207.839,347.896,343.171,275.548,355.312,317.732,241.532,246.848,303.413,201.863,264.343,160.997
"ZNF19","ZNF19",55.7885,41.2055,27.1343,42.3161,41.2744,40.1706,32.6882,27.7762,17.2893,23.1268,26.4777,32.6327,22.6202,25.5829,27.2788,44.3309,41.9993
