"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"CCDC53","CCDC53",210.908,239.741,182.187,202.9,222.096,249.756,136.59,192.642,149.12,175.904,170.634,159.703,201.428,222.06,286.037,280.762,335.995
"CCDC54","CCDC54",0,0,0,0,0,0,0,2.68802,0,0,0,0.494435,0,0,1.55879,0,0
"CCDC57","CCDC57",287.107,528.18,531.057,403.631,253.543,401.706,201.966,146.049,179.377,131.753,216.725,74.1653,101.612,112.053,279.023,170.756,367.494
"CCDC58","CCDC58",161.923,157.33,131.795,120.438,190.648,146.71,99.232,101.249,77.8019,62.3724,101.007,105.562,89.9424,116.146,251.744,216.729,216.996
"CCDC59","CCDC59",161.923,121.744,85.2792,122.608,152.322,151.95,140.092,134.401,168.571,157.683,185.344,154.017,144.159,158.102,254.082,262.701,244.996
"CCDC6","CCDC6",423.176,430.785,376.004,504.538,666.287,579.854,986.483,740.102,1108.68,861.299,1493.54,1105.31,774.294,1426.5,171.466,415.396,167.997
"CCDC60","CCDC60",0,0,1.93816,13.0203,0.982724,12.2258,3.50231,1.79201,0,0,0,2.71939,34.828,36.3277,0.779393,0,0
"CCDC61","CCDC61",125.184,144.219,222.889,160.584,113.996,181.641,56.0369,49.2804,79.9631,72.8846,62.7619,85.0429,88.3267,92.6101,208.098,160.905,328.995
"CCDC62","CCDC62",0,7.49192,0,2.17006,0,12.2258,5.83718,13.4401,8.64466,2.10244,3.92262,4.44992,2.51336,0,2.33818,4.92565,0
"CCDC63","CCDC63",1.36069,0,0,3.25508,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC64","CCDC64",21.7711,16.8568,19.3816,34.7209,42.2571,22.7051,103.902,62.7205,64.8349,89.7041,84.3363,80.3457,89.9424,91.5868,55.3369,39.4052,69.9989
"CCDC64B","CCDC64B",149.676,162.949,275.219,185.54,197.528,267.222,161.106,159.489,131.831,101.618,85.317,331.272,173.96,291.645,152.761,170.756,237.996
"CCDC65","CCDC65",2.72139,5.61894,3.87633,2.17006,0.982724,5.23964,3.50231,6.27205,12.967,5.6065,12.7485,4.44992,4.48814,1.53497,12.4703,4.92565,17.4997
"CCDC66","CCDC66",58.5099,69.3002,63.9594,72.6969,86.4797,66.3688,140.092,102.145,157.765,153.478,107.872,110.012,124.411,99.7733,60.7926,39.4052,24.4996
"CCDC67","CCDC67",0,0,0,2.17006,2.94817,0,0,0,0,0,0,1.48331,3.41099,3.58161,5.45575,4.92565,0
"CCDC68","CCDC68",88.4452,35.5866,17.4435,61.8466,68.7907,68.1153,809.033,878.983,942.268,510.893,685.478,634.608,498.722,603.757,44.4254,44.3309,48.9992
"CCDC69","CCDC69",1028.69,782.905,1151.27,920.104,677.097,878.513,562.704,577.925,686.17,719.735,631.542,577.748,978.236,599.152,1090.37,1044.24,1326.48
"CCDC7","CCDC7",6.80347,14.9838,9.69082,9.76525,11.7927,8.73274,33.8556,24.1922,45.3845,39.2455,37.2649,32.6327,19.9274,41.4443,6.23514,8.20942,3.49994
"CCDC70","CCDC70",0,0,0,0,0,0,0,0,0,2.10244,0,0,0,0,0,0,0
"CCDC71","CCDC71",315.681,269.709,403.138,426.416,294.817,319.618,135.422,120.065,135.073,127.548,101.007,110.259,150.084,76.2371,487.9,400.62,563.491
"CCDC71L","CCDC71L",213.629,185.425,166.682,207.24,167.063,235.784,190.292,291.202,151.282,206.039,150.04,318.169,391.366,284.994,217.451,213.445,192.497
"CCDC73","CCDC73",194.579,329.644,408.953,279.937,337.074,473.314,68.8787,49.2804,47.5456,63.0732,53.936,65.7599,81.1456,60.8873,152.761,254.492,132.998
"CCDC74A","CCDC74A",133.348,142.346,141.486,170.349,79.6007,113.526,5.83718,3.58403,7.56408,7.00813,13.7292,12.6081,28.9036,20.4663,115.35,83.7361,234.496
"CCDC74B","CCDC74B",32.6567,26.2217,21.3198,20.6155,19.6545,20.9586,3.50231,0.896007,3.24175,7.00813,0.980655,4.44992,4.30862,5.62824,22.6024,11.4932,13.9998
"CCDC77","CCDC77",172.808,136.727,127.919,133.458,109.082,164.175,86.3902,53.7604,54.0291,60.9707,56.878,91.2233,57.8073,68.0505,97.4241,111.648,101.498
"CCDC78","CCDC78",12.2463,5.61894,9.69082,26.0407,10.81,8.73274,2.33487,3.58403,3.24175,6.30732,1.96131,2.96661,4.66767,2.04663,23.3818,9.8513,48.9992
"CCDC79","CCDC79",1.36069,0,0,0,0,0,0,0,0,0,0,0,0,0.511658,0,0,0
"CCDC8","CCDC8",723.89,545.037,841.163,923.359,740.974,890.739,24.5161,34.0483,24.8534,60.2699,15.6905,41.5326,71.6308,45.0259,689.763,586.152,892.485
"CCDC80","CCDC80",1717.2,1226.8,2040.89,1032.95,775.369,1238.3,191.459,1333.26,216.116,932.782,375.591,1244.74,3990.5,1157.37,1373.29,1062.3,1648.47
"CCDC81","CCDC81",24.4925,7.49192,17.4435,6.51017,5.89634,17.4655,0,8.96007,2.16116,4.20488,0,4.69713,1.79526,4.09327,14.0291,3.28377,20.9997
"CCDC82","CCDC82",111.577,99.2679,75.5884,106.333,118.91,80.3412,314.04,325.251,251.776,286.633,316.752,242.026,290.832,301.878,56.8957,39.4052,34.9994
"CCDC83","CCDC83",0,0,0,0,0,0,0,0,0,0,0,0,0.359051,0,0,0,0
"CCDC84","CCDC84",127.905,168.568,201.569,160.584,128.737,195.613,54.8695,41.2163,39.9815,60.2699,49.0327,47.4658,53.8577,54.2358,105.218,82.0942,115.498
"CCDC85A","CCDC85A",10.8856,0,0,20.6155,3.9309,26.1982,28.0184,13.4401,10.8058,5.6065,11.7679,31.1494,52.4215,30.1878,3.11757,1.64188,0
"CCDC85B","CCDC85B",420.455,440.15,713.244,713.949,243.716,621.771,36.1905,21.5042,11.8864,21.7252,19.6131,80.3457,117.23,68.0505,450.489,375.991,1140.98
"CCDC85C","CCDC85C",808.253,642.432,581.449,681.398,734.095,747.522,437.788,448.004,539.211,549.437,503.076,498.391,345.946,495.285,945.404,986.772,867.986
"CCDC86","CCDC86",197.301,157.33,250.023,261.492,196.545,218.318,150.599,123.649,130.75,128.249,135.33,116.687,174.858,82.377,325.007,262.701,496.992
"CCDC87","CCDC87",12.2463,5.61894,0,3.25508,0.982724,0,2.33487,1.79201,6.48349,1.40163,2.94196,2.47218,2.69289,1.53497,6.23514,11.4932,0
"CCDC88A","CCDC88A",185.055,132.982,129.857,234.366,168.046,227.051,358.403,296.578,206.391,341.296,265.757,446.475,643.6,374.022,125.482,137.918,139.998
"CCDC88B","CCDC88B",76.1989,112.379,176.373,93.3124,69.7734,83.8343,274.347,182.785,332.819,283.829,243.202,200.493,372.336,126.38,70.1454,54.1822,143.498
"CCDC88C","CCDC88C",125.184,110.506,153.115,173.605,163.132,137.977,619.908,288.514,715.345,512.995,648.213,544.62,496.209,485.052,266.552,241.357,251.996
"CCDC89","CCDC89",14.9676,11.2379,19.3816,3.25508,10.81,10.4793,4.66974,10.7521,10.8058,14.7171,0,11.6192,15.9778,8.18653,8.57332,11.4932,6.99989
"CCDC9","CCDC9",259.893,316.533,501.984,318.998,238.802,312.632,157.604,118.273,126.428,99.5154,142.195,194.56,159.598,166.289,252.523,285.688,318.495
"CCDC90B","CCDC90B",183.694,159.203,122.104,142.139,205.389,151.95,322.212,318.083,446.28,290.137,364.804,318.169,518.47,324.903,113.012,90.3036,118.998
"CCDC91","CCDC91",59.8706,86.157,50.3923,61.8466,76.6525,47.1568,220.645,301.058,259.34,191.322,214.763,247.465,253.67,279.365,70.9248,78.8104,66.4989
"CCDC92","CCDC92",858.598,704.24,903.184,1036.2,652.529,946.629,272.012,245.506,284.193,326.579,307.926,241.779,265.339,186.755,932.154,1009.76,1371.98
"CCDC93","CCDC93",265.335,365.231,232.58,214.836,390.141,267.222,721.475,805.511,805.034,723.239,815.905,677.871,498.543,817.63,135.614,210.161,111.998
"CCDC94","CCDC94",380.995,522.561,895.432,450.287,326.264,399.959,103.902,88.7047,129.67,118.437,131.408,126.328,145.236,104.89,521.414,564.808,829.486
"CCDC96","CCDC96",23.1318,26.2217,48.4541,19.5305,20.6372,15.7189,22.1813,6.27205,10.8058,14.7171,13.7292,16.8108,13.2849,16.3731,33.5139,32.8377,52.4991
"CCDC97","CCDC97",447.669,466.372,552.377,552.279,438.295,464.582,302.366,279.554,257.179,309.759,317.732,284.3,304.835,215.408,691.322,517.193,811.987
"CCER1","CCER1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCER2","CCER2",10.8856,9.36489,32.9488,16.2754,4.91362,10.4793,2.33487,1.79201,12.967,4.20488,4.90327,0,0.718103,0,9.35272,4.92565,6.99989
"CCHCR1","CCHCR1",122.463,161.076,294.601,155.159,129.72,151.95,150.599,145.153,173.974,119.138,190.247,136.959,87.429,134.566,138.732,121.499,206.497
"CCIN","CCIN",8.16417,0,13.5671,1.08503,0,1.74655,4.66974,1.79201,2.16116,4.20488,0,0.741653,1.97478,0,4.67636,1.64188,24.4996
"CCK","CCK",824.581,123.617,91.0937,27.1257,1.96545,0,587.22,63.6165,237.728,22.426,557.012,1.73052,1.07715,2.04663,296.169,137.918,461.992
"CCKAR","CCKAR",0,0,0,0,0,0,36.1905,0,0,1.40163,0,0.98887,0,0,0.779393,0,0
"CCKBR","CCKBR",2.72139,22.4757,21.3198,6.51017,47.1708,8.73274,2.33487,0,0,0,1.96131,0,0,0,24.9406,11.4932,34.9994
"CCL1","CCL1",0,0,0,0,0,0,0,0,1.08058,0,0,0,11.3101,0,0,0,0
"CCL11","CCL11",106.134,46.8245,77.5265,27.1257,9.82724,29.6913,190.292,343.171,232.325,399.463,279.487,26.4523,46.6767,101.82,57.6751,31.1958,83.9986
"CCL13","CCL13",0,0,0,5.42514,0.982724,5.23964,120.246,226.69,94.0107,181.511,124.543,40.7909,384.903,109.495,0.779393,0,0
"CCL14,CCL15,CCL15-CCL14","CCL14,CCL15,CCL15-CCL14",526.589,781.032,587.264,340.699,395.055,506.499,403.933,545.668,471.134,389.652,352.055,432.631,412.191,454.352,943.845,927.664,923.985
"CCL16","CCL16",0,0,0,0,0,0,0,1.79201,0,0,0.980655,0.494435,0,0.511658,0,0,3.49994
"CCL17","CCL17",0,0,0,0,0,0,0,9.85608,0,2.80325,0,11.372,22.9793,0,0,0,0
"CCL18","CCL18",0,0,0,0,0,0,193.794,541.188,172.893,168.896,101.007,147.342,550.426,327.973,1.55879,0,0
"CCL19","CCL19",0,3.74596,0,1.08503,1.96545,3.49309,25.6836,39.4243,2.16116,197.629,22.5551,114.215,636.419,25.0712,1.55879,3.28377,13.9998
"CCL2","CCL2",145.594,121.744,98.8463,145.394,47.1708,94.3135,267.343,880.775,183.699,188.519,198.092,151.544,288.139,202.617,217.451,128.067,335.995
"CCL20","CCL20",20.4104,28.0947,11.629,4.34011,0.982724,3.49309,114.409,396.035,33.498,88.3024,73.5491,160.444,102.509,276.295,45.9842,91.9455,41.9993
"CCL21","CCL21",2.72139,0,0,6.51017,0.982724,5.23964,193.794,553.732,291.757,777.202,340.287,529.54,1884.84,48.0959,0.779393,0,10.4998
"CCL22","CCL22",0,0,0,0,0,0,21.0138,26.8802,15.1282,26.6309,26.4777,29.1717,263.364,11.2565,0,0,0
"CCL23","CCL23",8.16417,0,1.93816,1.08503,0,0,1.16744,2.68802,1.08058,1.40163,1.96131,45.7353,22.6202,6.1399,4.67636,1.64188,0
"CCL24","CCL24",32.6567,0,34.8869,3.25508,1.96545,0,42.0277,217.73,121.025,84.0976,30.4003,34.3632,38.598,97.215,38.9696,14.777,27.9995
"CCL25","CCL25",2062.81,4821.05,2734.75,78.122,31.4472,26.1982,2826.36,3683.49,4663.79,4640.08,4102.08,0,0,0,4367.72,6485.44,5848.4
"CCL26","CCL26",1.36069,0,1.93816,4.34011,0.982724,3.49309,0,5.37604,0,2.80325,1.96131,2.22496,6.2834,3.58161,8.57332,1.64188,10.4998
"CCL27","CCL27",2.72139,1.87298,1.93816,0,0.982724,0,0,0.896007,0,0.700813,0,0,0,0,0.779393,4.92565,0
"CCL28","CCL28",27.2139,0,36.8251,27.1257,22.6027,66.3688,996.99,549.252,644.027,220.055,591.335,861.059,356,1986.77,24.1612,49.2565,24.4996
"CCL3","CCL3",0,0,0,23.8706,0,3.49309,37.3579,57.3445,32.4175,23.8276,40.2068,3.46105,70.1946,41.956,2.33818,0,0
"CCL3L1","CCL3L1",0,0,0,0,0,0,0,2.68802,6.48349,4.20488,0.980655,0.247218,1.25668,3.58161,0,0,0
"CCL3L1,CCL3L3","CCL3L1,CCL3L3",0,0,0,1.08503,0,0,0,0,1.08058,0.700813,0,0.247218,0,0,0,0,0
"CCL4","CCL4",0,0,0,14.1054,0,6.98619,43.1951,90.4967,47.5456,57.4667,29.4196,22.2496,86.3519,26.6062,0.779393,0,3.49994
"CCL4L1,CCL4L2","CCL4L1,CCL4L2",0,0,0,0,0,0,2.33487,8.06407,6.48349,9.81138,5.883925,1.97774,4.129096,3.069948,0,0,0
"CCL5","CCL5",17.689,22.4757,65.8976,26.0407,24.5681,43.6637,479.816,410.371,1472.83,844.48,514.844,331.024,363.181,88.0052,11.6909,9.8513,6.99989
"CCL7","CCL7",1.36069,0,0,0,0,0,2.33487,0,0,2.80325,0,0.741653,1.79526,3.06995,0,0,0
"CCL8","CCL8",0,0,5.81449,11.9353,0,0,86.3902,228.482,75.6408,84.7984,66.6845,21.5079,37.3414,27.1179,0,3.28377,0
"CCM2","CCM2",534.753,516.942,961.329,766.03,559.17,703.858,191.459,215.938,173.974,274.719,213.783,212.607,312.195,207.222,704.571,581.227,1172.48
"CCM2L","CCM2L",0,0,7.75265,46.6562,0,8.73274,35.0231,15.2321,15.1282,30.8358,20.5938,19.7774,35.187,14.8381,2.33818,6.56753,0
"CCNA1","CCNA1",13.6069,0,3.87633,3.25508,3.9309,1.74655,3.50231,1.79201,2.16116,1.40163,12.7485,2.47218,4.12909,2.04663,10.1321,6.56753,10.4998
"CCNA2","CCNA2",138.791,243.487,158.929,212.666,171.977,237.53,262.673,260.738,190.182,260.702,265.757,184.672,181.68,293.692,139.511,193.742,164.497
"CCNB1","CCNB1",299.353,271.582,343.055,366.74,406.848,384.24,261.505,253.57,230.164,290.837,341.268,182.447,176.115,250.712,339.036,492.565,356.994
"CCNB1IP1","CCNB1IP1",665.38,805.381,773.327,785.561,717.389,813.891,235.822,196.226,267.984,182.912,268.699,217.304,220.817,182.662,625.853,674.814,549.491
"CCNB2","CCNB2",219.072,284.693,304.292,239.791,300.714,267.222,148.264,133.505,141.556,186.416,202.996,131.273,83.4795,193.407,225.245,336.586,255.496
"CCNB3","CCNB3",0,0,3.87633,2.17006,0.982724,6.98619,4.66974,3.58403,2.16116,4.20488,3.92262,6.42766,4.12909,7.67487,0,0,0
"CCNC","CCNC",235.4,155.457,166.682,228.941,263.37,239.277,802.028,734.726,674.283,625.826,795.311,488.255,536.243,728.09,82.6156,137.918,62.999
"CCND1","CCND1",1121.21,1376.64,2089.34,1510.36,1224.47,1589.36,769.34,657.669,625.657,667.174,829.634,937.944,1661.87,1050.43,528.428,796.313,860.986
"CCND2","CCND2",2295.49,2127.7,1693.96,2163.55,2018.52,3018.03,1120.74,935.432,763.972,922.971,1306.23,1130.53,1940.49,1760.62,879.935,1939.06,1490.98
"CCND2-AS1","CCND2-AS1",16.3283,18.7298,34.8869,21.7006,9.82724,20.9586,0,2.68802,0,1.40163,1.96131,1.73052,2.69289,2.55829,17.926,14.777,38.4994
"CCND3","CCND3",615.034,713.605,891.555,677.058,635.822,834.85,569.708,440.836,487.343,426.094,684.497,565.881,593.333,520.868,832.392,901.394,857.486
"CCNDBP1","CCNDBP1",450.39,286.566,277.157,335.274,358.694,379.001,560.369,534.916,613.771,524.208,533.476,599.503,480.231,577.15,477.768,485.997,244.996
"CCNE1","CCNE1",53.0671,41.2055,60.0831,61.8466,72.7216,85.5808,40.8602,53.7604,22.6922,31.5366,46.0908,35.5993,41.4704,59.3523,37.4109,49.2565,52.4991
"CCNE2","CCNE2",10.8856,7.49192,11.629,23.8706,19.6545,29.6913,53.702,108.417,63.7544,65.1756,73.5491,102.595,57.0892,100.797,9.35272,8.20942,38.4994
"CCNF","CCNF",220.433,284.693,263.59,223.516,254.526,268.968,82.8879,77.0566,52.9485,94.6098,101.988,67.2432,66.0655,100.285,233.818,210.161,286.995
"CCNG1","CCNG1",936.158,949.6,449.654,641.252,968.966,784.2,2616.22,2239.12,3481.64,2040.07,3781.41,1883.8,2150.54,2597.69,1688.94,1213.35,1018.48
"CCNG2","CCNG2",410.93,432.658,209.322,252.812,576.859,235.784,503.165,372.739,464.65,458.332,573.683,921.38,571.789,1452.6,98.2035,192.1,104.998
"CCNH","CCNH",209.547,179.806,93.0319,163.839,111.048,113.526,165.776,227.586,170.732,200.433,202.996,111.742,239.667,179.592,269.67,246.283,227.496
"CCNI","CCNI",1028.69,784.778,348.869,806.176,928.674,677.66,1460.46,1591.31,1760.27,1433.16,1633.77,1483.8,1344.83,1518.6,1217.41,1274.1,1147.98
"CCNI2","CCNI2",78.9203,39.3326,44.5778,83.5472,102.203,115.272,84.0553,49.2804,28.0951,39.9463,24.5164,39.0604,28.5446,58.329,54.5575,77.1685,59.499
"CCNJ","CCNJ",44.9029,44.9515,19.3816,49.9113,40.2917,57.6361,147.097,182.785,110.219,81.2943,157.885,129.789,97.1234,141.729,59.2339,50.8984,27.9995
"CCNJL","CCNJL",194.579,191.044,290.725,224.601,273.197,256.742,24.5161,42.1123,48.6262,43.4504,28.439,130.778,57.6278,152.474,166.79,192.1,150.498
"CCNK","CCNK",289.828,378.342,281.034,330.934,354.763,284.687,499.662,571.653,573.789,488.467,495.231,503.335,524.036,573.569,438.019,398.978,531.991
"CCNL1","CCNL1",523.868,524.434,344.993,318.998,488.414,254.996,1265.5,1206.03,1323.71,1175.26,1010.07,477.13,451.328,451.794,272.008,321.809,167.997
"CCNL2","CCNL2",2264.2,2470.46,2383.94,2224.31,1922.21,1737.81,1740.65,1244.55,1581.97,1380.6,1420.97,696.659,602.668,739.858,971.124,820.942,1000.98
"CCNO","CCNO",0,3.74596,0,7.5952,4.91362,24.4517,14.0092,33.1523,4.32233,12.6146,17.6518,11.6192,7.0015,42.9793,29.6169,24.6283,66.4989
"CCNT1","CCNT1",209.547,127.363,160.868,121.523,160.184,139.724,406.267,458.756,441.958,449.221,391.281,534.484,446.84,641.619,70.1454,101.797,38.4994
"CCNT2","CCNT2",155.119,117.998,87.2174,149.734,154.288,129.244,870.907,681.862,715.345,644.748,621.735,651.171,495.671,642.643,25.72,65.6753,62.999
"CCNT2-AS1","CCNT2-AS1",21.7711,9.36489,7.75265,17.3605,18.6718,10.4793,3.50231,7.16806,6.48349,9.11057,5.88393,6.92209,6.82198,8.18653,20.2642,18.0607,27.9995
"CCNY","CCNY",595.984,545.037,531.057,671.633,526.74,557.149,891.921,874.503,1094.63,951.003,909.067,795.546,839.821,873.4,645.337,760.192,713.988
"CCNYL1,MIR4775","CCNYL1,MIR4775",127.905,82.4111,122.104,101.993,113.013,108.286,424.946,351.235,358.753,261.403,315.771,475.399,427.989,396.535,117.688,95.2292,94.4985
"CCNYL2","CCNYL2",0,0,0,0,0,0,0,1.79201,1.08058,2.80325,0,0.494435,0.359051,0,0,0,0
"CCP110","CCP110",59.8706,31.8406,15.5053,48.8263,60.9289,57.6361,260.338,286.722,245.292,248.789,164.75,227.935,281.137,300.343,16.3673,45.9727,41.9993
"CCPG1,DYX1C1,DYX1C1-CCPG1","CCPG1,DYX1C1,DYX1C1-CCPG1",182.333,166.695,195.755,211.581,221.113,216.572,1048.36,1010.7,1023.31,1051.92,1039.49,1457.1,1623.63,2028.72,164.452,195.384,118.998
"CCR1","CCR1",0,0,0,11.9353,0.982724,1.74655,226.482,173.825,149.12,138.761,124.543,111.001,287.241,80.842,0.779393,4.92565,0
"CCR10","CCR10",28.5746,20.6028,34.8869,31.4658,9.82724,10.4793,24.5161,11.6481,17.2893,5.6065,13.7292,25.7106,74.5032,26.6062,22.6024,9.8513,59.499
"CCR2","CCR2",0,0,0,0,0,0,273.18,152.321,287.435,163.289,136.311,86.5262,365.694,56.2824,0,0,0
"CCR3","CCR3",0,0,0,0,0,0,12.8418,34.0483,16.2087,41.348,23.5357,5.43879,9.51486,5.11658,0,0,0
"CCR4","CCR4",0,0,0,0,0,0,3.50231,8.06407,2.16116,22.426,6.86458,19.5302,34.828,6.65156,0,0,0
"CCR5","CCR5",0,0,0,1.08503,0,0,141.26,183.681,179.377,170.298,111.795,116.687,185.809,61.399,0,0,0
"CCR6","CCR6",65.3134,110.506,36.8251,3.25508,22.6027,8.73274,50.1997,120.065,102.655,109.327,116.698,82.8179,91.0195,21.4896,33.5139,67.3172,27.9995
"CCR7","CCR7",1.36069,0,0,3.25508,0,0,22.1813,15.2321,10.8058,60.2699,29.4196,75.8958,259.594,12.7915,0,0,0
"CCR8","CCR8",0,0,0,0,0,0,1.16744,1.79201,0,0.700813,1.96131,1.48331,4.66767,4.09327,0,0,0
"CCR9","CCR9",1.36069,0,0,0,1.96545,0,57.2043,53.7604,259.34,87.6016,127.485,5.43879,4.30862,2.04663,4.67636,1.64188,0
"CCRL2","CCRL2",131.987,211.647,145.362,81.3771,91.3933,89.0739,190.292,183.681,167.49,131.753,151.021,121.384,136.44,152.474,178.481,228.222,132.998
"CCRN4L","CCRN4L",21.7711,22.4757,79.4647,9.76525,11.7927,26.1982,25.6836,38.5283,21.6116,33.639,4.90327,46.4769,61.2183,27.1179,23.3818,31.1958,31.4995
"CCS","CCS",684.43,897.157,1273.37,777.965,541.481,761.495,232.32,219.522,338.222,281.727,268.699,178.986,204.121,179.08,565.06,535.254,797.987
"CCSAP","CCSAP",50.3457,44.9515,11.629,69.4418,56.0153,66.3688,135.422,97.6648,129.67,147.171,123.563,145.117,169.831,147.358,21.0436,22.9864,10.4998
"CCSER1","CCSER1",13.6069,1.87298,0,16.2754,12.7754,12.2258,88.7251,70.7846,105.897,63.774,90.2202,50.1852,43.2657,61.9106,20.2642,13.1351,20.9997
"CCSER2","CCSER2",134.709,121.744,67.8357,150.819,143.478,127.498,777.512,856.583,826.645,717.633,1082.64,748.08,686.865,910.24,127.82,164.188,104.998
"CCT2","CCT2",865.402,779.159,953.577,870.193,1360.09,785.946,877.911,919.303,892.561,957.311,944.371,1129.04,1315.38,956.801,657.808,994.981,591.49
"CCT3","CCT3",2564.91,2642.77,3760.04,2887.26,3019.91,3025.02,1385.75,1273.23,1757.03,1201.19,1592.58,1462.04,1847.5,1151.23,3283.58,3948.73,3426.44
"CCT4","CCT4",1458.66,1372.89,1567.97,1647.07,1930.07,1832.13,915.269,884.359,1026.55,877.418,1049.3,1141.65,1287.56,993.64,1138.69,1636.96,993.984
"CCT5","CCT5",1227.35,1039.5,1366.41,1336.75,1800.35,1365.8,1294.69,1246.35,1084.9,1075.05,1294.46,1555.49,1827.03,1256.63,1458.24,1630.39,1539.97
"CCT6A","CCT6A",1141.62,975.822,1106.69,860.427,1402.35,930.91,1381.08,1316.23,1401.52,1183.67,1325.85,1361.92,1908.54,1318.03,847.2,1361.12,689.489
"CCT6B","CCT6B",24.4925,18.7298,42.6396,41.2311,36.3608,40.1706,24.5161,13.4401,9.72524,12.6146,27.4583,15.8219,12.3873,15.3497,10.9115,16.4188,3.49994
"CCT6P1","CCT6P1",25.8532,24.3487,25.1961,56.4215,43.2399,52.3964,43.1951,49.2804,64.8349,52.561,39.2262,29.4189,26.5698,32.2345,3.89696,19.7026,13.9998
"CCT6P3","CCT6P3",53.0671,80.5381,83.341,113.928,83.5315,132.738,81.7205,51.0724,62.6738,58.8683,54.9167,50.4324,43.0862,39.9093,19.4848,21.3445,17.4997
"CCT7","CCT7",2411.15,2384.3,3087.49,2551.99,2660.23,2523.76,1209.46,1297.42,1401.52,1105.18,1441.56,1654.13,1825.24,1258.68,2411.44,2993.15,2477.96
"CCT8","CCT8",889.894,1108.8,1176.47,1123,1513.4,1194.64,1214.13,1428.24,1343.16,1288.09,1351.34,1384.17,1653.25,1233.1,792.643,1393.96,643.989
"CCT8L2","CCT8L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCZ1","CCZ1",172.808,174.187,133.733,173.605,124.806,178.148,61.8741,103.937,132.912,93.2081,97.0848,72.9292,36.9823,83.4003,134.835,129.709,192.497
"CCZ1B","CCZ1B",9.52486,18.7298,38.7633,22.7856,19.6545,24.4517,105.069,41.2163,23.7728,41.348,55.8973,54.1407,80.4275,61.9106,31.1757,42.689,17.4997
"CD101","CD101",10.8856,7.49192,0,16.2754,12.7754,8.73274,101.567,163.969,166.41,193.424,97.0848,40.0493,101.432,17.908,6.23514,16.4188,3.49994
"CD109","CD109",66.674,97.3949,44.5778,81.3771,44.2226,45.4102,101.567,137.985,94.0107,195.527,141.214,197.032,396.393,247.643,24.9406,31.1958,48.9992
"CD14","CD14",1.36069,5.61894,1.93816,62.9316,0.982724,19.212,219.478,292.994,278.79,374.935,258.893,635.596,1061.18,439.003,0,13.1351,31.4995
"CD151","CD151",5397.88,6330.67,11735.6,6045.78,4553.94,6322.5,1913.43,1675.53,1497.69,1342.76,1687.71,1999.99,1695.26,2525.54,7465.8,6290.06,9792.84
"CD160","CD160",6.80347,5.61894,5.81449,5.42514,9.82724,5.23964,63.0415,21.5042,105.897,39.9463,41.1875,21.5079,13.4644,7.16321,2.33818,0,0
"CD163","CD163",1.36069,1.87298,9.69082,65.1017,0,24.4517,658.433,620.933,531.646,1361.68,380.494,1464.76,2012.84,1361.52,0.779393,9.8513,13.9998
"CD163L1","CD163L1",1.36069,5.61894,0,18.4455,0,5.23964,295.361,523.268,465.731,1195.59,357.939,890.231,1534.41,244.061,0,1.64188,0
"CD164","CD164",1034.13,1035.76,767.513,1004.74,1733.53,1161.45,7560.31,7612.48,7198.84,6636,6979.32,8916.4,6058.63,10433.7,434.122,848.854,479.492
"CD164L2","CD164L2",0,0,0,0,2.94817,1.74655,0,0.896007,0,0,0,0.247218,0,3.06995,0,0,0
"CD177","CD177",0,0,0,4.34011,0,3.49309,9.33948,1.79201,0,0.700813,1.96131,3707.03,3978.11,3754.04,0.779393,0,0
"CD180","CD180",0,0,0,4.34011,0,5.23964,79.3856,94.0808,61.5932,110.028,87.2783,82.5707,159.419,97.215,0,1.64188,0
"CD19","CD19",0,0,0,1.08503,0,0,14.0092,6.27205,10.8058,33.639,16.6711,46.7241,41.4704,13.3031,0,0,0
"CD1A","CD1A",0,0,0,0,0,0,0,1.79201,0,6.30732,1.96131,6.42766,22.9793,2.04663,0,0,0
"CD1B","CD1B",0,0,0,0,0,0,0,0,0,5.6065,0,1.48331,44.7019,0,0,0,0
"CD1C","CD1C",0,0,0,0,0,0,8.17205,61.8245,27.0146,65.8764,50.9941,43.5103,145.236,13.3031,0,0,0
"CD1D","CD1D",46.2636,39.3326,1.93816,15.1904,9.82724,8.73274,267.343,194.434,263.662,203.937,231.435,108.034,84.5566,123.821,28.8375,29.5539,10.4998
"CD1E","CD1E",0,0,0,0,0,0,4.66974,30.4642,5.40291,34.3398,33.3423,18.2941,115.615,3.06995,0,0,0
"CD2","CD2",0,0,0,0,0.982724,0,198.464,218.626,538.13,323.075,252.028,199.01,252.054,66.0039,0,0,0
"CD200","CD200",59.8706,22.4757,9.69082,39.061,43.2399,24.4517,73.5484,110.209,52.9485,91.8065,61.7813,112.237,136.08,146.334,38.1903,26.2701,20.9997
